country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Brazil,0.0,0.0,5.82013,3.94973,3.98233,4.41244,4.25657,4.22335,4.8282,4.19333,4.52072,5.22956,3.98446,0.0,0.0
Canada,0.0,0.0,0.50916,0.61336,0.47471,0.29334,1.44996,1.36776,1.33824,2.81245,3.09103,4.77038,5.25502,0.0,0.0
Germany,1.08099,0.59579,0.89089,0.91202,1.23104,0.85771,1.74626,1.07963,0.87091,0.95647,1.18655,1.46277,1.9147,2.60674,0.0
Japan,0.0,0.0,0.0,0.03142,0.10237,0.14499,0.09465,0.0502,0.0925,0.08571,0.13415,0.03021,0.09672,0.0,0.0
Kenya,0.0,0.0,17.28183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Palestine,8.5948,8.50866,6.39994,6.57582,5.49729,5.34256,4.8961,3.85097,4.64906,5.5419,6.46456,8.2298,9.50722,9.55693,0.0
Sudan,0.0,45.0578,48.59767,47.88169,47.74398,47.29448,45.54279,43.48148,38.75254,43.83784,0.0,0.0,0.0,0.0,0.0
Syria,1.21786,0.94957,0.9588,35.85995,0.0,0.0,0.0,0.0,0.0,0.0,33.44051,34.6112,31.06999,26.33566,21.80503
Ukraine,8.04845,8.6925,9.82786,10.71319,11.3238,15.96726,16.26054,16.46088,16.8042,16.38291,16.34748,15.87099,0.0,0.0,0.0
Yemen,29.86473,0.0,28.0926,27.86048,0.0,0.0,30.62112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
