year,conflict_share,stable_share
2010,15.942028985507244,84.05797101449275
2011,17.123287671232877,82.87671232876713
2012,12.5,87.5
2013,10.48951048951049,89.5104895104895
2014,12.258064516129032,87.74193548387098
2015,16.352201257861633,83.64779874213836
2016,21.518987341772153,78.48101265822784
2017,18.238993710691823,81.76100628930818
2018,18.181818181818183,81.81818181818183
2019,19.230769230769234,80.76923076923077
2020,16.883116883116884,83.11688311688312
2021,17.94871794871795,82.05128205128204
2022,22.2972972972973,77.7027027027027
2023,19.53125,80.46875
2024,21.428571428571427,78.57142857142857
