bin_mid,bin_start,bin_end,count,conflict_status
1.25,0.0,2.5,3,Conflict
3.75,2.5,5.0,8,Conflict
6.25,5.0,7.5,5,Conflict
8.75,7.5,10.0,5,Conflict
11.25,10.0,12.5,1,Conflict
13.75,12.5,15.0,0,Conflict
16.25,15.0,17.5,8,Conflict
18.75,17.5,20.0,0,Conflict
21.25,20.0,22.5,1,Conflict
23.75,22.5,25.0,0,Conflict
26.25,25.0,27.5,1,Conflict
28.75,27.5,30.0,3,Conflict
31.25,30.0,32.5,2,Conflict
33.75,32.5,35.0,2,Conflict
36.25,35.0,37.5,1,Conflict
38.75,37.5,40.0,1,Conflict
41.25,40.0,42.5,0,Conflict
43.75,42.5,45.0,2,Conflict
46.25,45.0,47.5,3,Conflict
48.75,47.5,50.0,3,Conflict
51.25,50.0,52.5,0,Conflict
53.75,52.5,55.0,0,Conflict
56.25,55.0,57.5,0,Conflict
58.75,57.5,60.0,0,Conflict
61.25,60.0,62.5,0,Conflict
63.75,62.5,65.0,0,Conflict
66.25,65.0,67.5,0,Conflict
68.75,67.5,70.0,0,Conflict
71.25,70.0,72.5,0,Conflict
73.75,72.5,75.0,0,Conflict
76.25,75.0,77.5,0,Conflict
78.75,77.5,80.0,0,Conflict
81.25,80.0,82.5,0,Conflict
83.75,82.5,85.0,0,Conflict
86.25,85.0,87.5,0,Conflict
88.75,87.5,90.0,0,Conflict
91.25,90.0,92.5,0,Conflict
93.75,92.5,95.0,0,Conflict
96.25,95.0,97.5,0,Conflict
98.75,97.5,100.0,0,Conflict
1.25,0.0,2.5,30,Stable
3.75,2.5,5.0,8,Stable
6.25,5.0,7.5,4,Stable
8.75,7.5,10.0,3,Stable
11.25,10.0,12.5,1,Stable
13.75,12.5,15.0,0,Stable
16.25,15.0,17.5,0,Stable
18.75,17.5,20.0,0,Stable
21.25,20.0,22.5,0,Stable
23.75,22.5,25.0,0,Stable
26.25,25.0,27.5,0,Stable
28.75,27.5,30.0,0,Stable
31.25,30.0,32.5,0,Stable
33.75,32.5,35.0,0,Stable
36.25,35.0,37.5,0,Stable
38.75,37.5,40.0,0,Stable
41.25,40.0,42.5,0,Stable
43.75,42.5,45.0,0,Stable
46.25,45.0,47.5,0,Stable
48.75,47.5,50.0,0,Stable
51.25,50.0,52.5,0,Stable
53.75,52.5,55.0,0,Stable
56.25,55.0,57.5,0,Stable
58.75,57.5,60.0,0,Stable
61.25,60.0,62.5,0,Stable
63.75,62.5,65.0,0,Stable
66.25,65.0,67.5,0,Stable
68.75,67.5,70.0,0,Stable
71.25,70.0,72.5,0,Stable
73.75,72.5,75.0,0,Stable
76.25,75.0,77.5,0,Stable
78.75,77.5,80.0,0,Stable
81.25,80.0,82.5,0,Stable
83.75,82.5,85.0,0,Stable
86.25,85.0,87.5,0,Stable
88.75,87.5,90.0,0,Stable
91.25,90.0,92.5,0,Stable
93.75,92.5,95.0,0,Stable
96.25,95.0,97.5,0,Stable
98.75,97.5,100.0,0,Stable
