country,first_year,last_year,first_value,last_value,change
Brazil,2012,2022,5.82013,3.98446,-1.83567
Canada,2012,2022,0.50916,5.25502,4.74586
Germany,2010,2023,1.08099,2.60674,1.52575
Japan,2013,2022,0.03142,0.09672,0.0653
Kenya,2012,2012,17.28183,17.28183,0.0
Palestine,2010,2023,8.5948,9.55693,0.9621300000000002
Sudan,2011,2019,45.0578,43.83784,-1.2199600000000004
Syria,2010,2024,1.21786,21.80503,20.58717
Ukraine,2010,2021,8.04845,15.87099,7.82254
Yemen,2010,2016,29.86473,30.62112,0.7563899999999997
