iso3,country,year,female_emp_rate,male_emp_rate
ARG,Argentina,2010,43.292,68.413
AUS,Australia,2010,55.519,68.765
BRA,Brazil,2010,48.735,72.893
CAN,Canada,2010,57.317,65.361
CHN,China,2010,61.17,74.177
DEU,Germany,2010,49.065,61.628
IND,India,2010,26.232,73.589
IRN,"Iran, Islamic Rep.",2010,11.985,60.132
ITA,Italy,2010,34.244,54.549
JPN,Japan,2010,46.115,67.588
KEN,Kenya,2010,68.939,74.396
NOR,Norway,2010,61.312,66.794
ZAF,South Africa,2010,34.376,48.048
ESP,Spain,2010,41.252,54.105
SWE,Sweden,2010,53.963,61.645
BLR,Belarus,2010,54.773,64.068
