iso3,country,year,female_share_pct,male_share_pct
ARG,Argentina,2024,43.2536782258649,71.797
AUS,Australia,2024,47.4466780116945,71.212
BLR,Belarus,2024,49.1099131054992,70.24
BRA,Brazil,2024,43.3416278052626,72.873
CAN,Canada,2024,47.3465203775683,69.56
CHN,China,2024,45.1001705978381,71.113
DEU,Germany,2024,46.5458074966418,66.33
ESP,Spain,2024,46.9838175989501,62.406
IND,India,2024,28.688859984676,77.084
IRN,"Iran, Islamic Rep.",2024,16.4963076902295,66.329
ITA,Italy,2024,42.7471625908796,58.627
JPN,Japan,2024,45.1064236477515,71.588
KEN,Kenya,2024,47.1905042239425,71.394
NOR,Norway,2024,47.1739778562222,68.529
SWE,Sweden,2024,47.3390965872294,68.208
ZAF,South Africa,2024,46.9689001589498,64.498
